,name,price,original_price,rating,reviews,color,storage
69,Galaxy F16 5G (4 GB Memory),,,,,Vibing Blue,128 GB
70,Galaxy F06 5G (6 GB Memory),₹15999.00,MRP: ₹18999.00 (Incl. of all taxes),1,1,Lit Violet,128 GB
71,Galaxy F06 5G (4 GB Memory),₹13999.00,MRP: ₹16999.00 (Incl. of all taxes),1,1,Bahama Blue,128 GB
72,Galaxy XCover7 (6 GB Memory) Enterprise Edition,,,,,Black,128 GB
73,Galaxy A16 5G (6 GB Memory),,,3,3,Blue Black,128 GB
74,Galaxy A16 5G (8 GB Memory),,,3.8,719,Gold,128 GB
75,Galaxy S24 FE,,,4.5,"1,297",Blue,128 GB
76,Galaxy F15 5G (8 GB Memory),,,,,Light Green,128 GB
77,Galaxy M55s 5G (8 GB Memory),,,,,Green,256 GB
78,Galaxy F05 (4 GB Memory),,,,,Blue,64 GB
79,Galaxy M05 (4 GB Memory),,,,,Mint Green,64 GB
80,Galaxy M15 5G Prime (8 GB Memory),,,5,1,Dark Blue,128 GB
81,Galaxy A06 (4 GB Memory),,,,,Light Blue,64 GB
82,Galaxy Z Fold6,,,4.5,"2,125",Silver Shadow,256 GB
83,Galaxy S24 Ultra,,,4.8,"8,514",Titanium Gray,256 GB
84,Galaxy S24,,,4.6,"3,872",Amber Yellow,256 GB
85,Galaxy S23 Ultra (Special Colour),,,4.5,42,Lime,256 GB
86,Galaxy S23,,,4.3,780,Phantomblack,128 GB
87,Galaxy S23 FE,,,4.1,"1,033",Mint,128 GB
88,Galaxy Z Flip6  (Special Colour),,,4.5,"2,645",Crafted Black,256 GB
89,Galaxy Z Fold6 (Special Colour),,,4.5,"1,568",Crafted Black,256 GB
90,Galaxy M35 5G (8 GB Memory),,,4.2,5,Dark Blue,128 GB
91,Galaxy M35 5G (6 GB Memory),,,4,4,Light Blue,128 GB
92,Galaxy S23 FE (Special Colour),,,4.1,"1,031",Blue,128 GB
93,Galaxy A55 5G (12 GB Memory),,,4.3,802,Awesome Iceblue,256 GB
94,Galaxy M55 5G (12 GB Memory),,,,,Light Green,256 GB
95,Galaxy M55 5G (8 GB Memory),,,,,Light Green,128 GB
96,Galaxy F55 5G (12 GB Memory),,,,,Raisin Black,256 GB
97,Galaxy F55 5G (8 GB Memory),,,,,Raisin Black,128 GB
98,Galaxy F15 5G (6 GB Memory),,,5,1,Black,128 GB
99,Galaxy F15 5G (4 GB Memory),,,,,Black,128 GB
100,Galaxy A15 5G (6 GB Memory),,,3.8,621,Blue Black,128 GB
101,Galaxy S23 Ultra,,,4.5,"1,419",Green,256 GB
102,Galaxy A15 5G (8 GB Memory),,,3.9,618,Light Blue,128 GB
103,Galaxy F13 (4 GB Memory),,,1,2,Waterfall Blue,64 GB
